lead_id,village,distance_from_darab_km,property_type,usage_purpose,electricity_access,lead_source,required_appliances,estimated_daily_energy_need_kwh,quoted_price_m_toman,purchased
L0285,Madavan,30.4,garden_house,mixed_use,none,,"lights,TV",2.2,150.7,0
L0286,Jamsi,13.6,farm,agriculture,unstable,instagram,"pump,lights",7.7,576.3,1
L0287,Badameh,63.4,garden_house,seasonal_garden,unstable,,"lights,TV",2.1,145.2,1
L0288,Nidshahr,11.8,farm,agriculture,none,referral,pump,8.1,591.5,0
L0289,Shamsabad,15.0,farm,agriculture,unstable,referral,"pump,lights",9.4,593.2,1
L0290,Bakhtajerd,12.7,garden_house,seasonal_garden,unstable,referral,"lights,fridge,TV",5.2,273.6,1
L0291,Sangcharak,12.5,farm,seasonal_garden,none,instagram,"pump,lights",8.1,506.1,0
L0292,Madavan,27.5,farm,agriculture,none,referral,"pump,lights",6.7,455.7,0
L0293,Pasakhan,27.7,garden_house,,none,instagram,"lights,fridge",5.2,327.4,0
L0294,Banouj,19.6,garden_house,seasonal_garden,none,local_ad,"lights,fridge,TV",5.7,295.8,1
L0295,Hasan Abad,13.3,rural_house,seasonal_garden,none,referral,"lights,fridge",4.7,274.4,1
L0296,Madavan,31.6,rural_house,seasonal_garden,none,referral,"lights,fridge",4.5,303.6,1
L0297,Hasan Abad,13.3,rural_house,primary_residence,none,instagram,lights,1.8,132.6,1
L0298,Banouj,18.0,farm,,none,referral,"pump,lights",11.4,763.2,1
L0299,Morvarid,30.2,garden_house,mixed_use,unstable,referral,"lights,fridge",4.4,315.3,0
L0300,Zarrindasht,69.4,garden_house,seasonal_garden,unstable,referral,"lights,fridge",5.0,323.4,0
